iter	Passed	Remaining
398	99341	74942
399	99483	74612
400	99653	74305
401	99896	74052
402	100092	73765
403	100259	73457
404	100379	73115
405	100539	72804
406	100712	72503
407	100866	72188
408	101017	71872
409	101183	71569
410	101337	71257
411	101468	70929
412	101621	70618
413	101810	70332
414	101981	70035
415	102135	69727
416	102274	69409
417	102433	69105
418	102555	68778
419	102702	68468
420	102893	68188
421	103036	67876
422	103239	67606
423	103444	67336
424	103705	67103
425	103841	66790
426	103988	66484
427	104115	66166
428	104241	65849
429	104382	65542
430	104622	65297
431	104743	64980
432	104915	64693
433	105052	64386
434	105223	64101
435	105349	63789
436	105522	63506
437	105671	63209
438	105854	62934
439	106038	62658
440	106164	62350
441	106306	62052
442	106539	61807
443	106749	61549
444	106928	61273
445	107098	60993
446	107320	60743
447	107433	60431
448	107547	60121
449	107731	59850
450	107878	59560
451	108089	59305
452	108263	59031
453	108445	58761
454	108664	58511
455	108811	58223
456	108924	57918
457	109037	57613
458	109285	57380
459	109551	57157
460	109701	56873
461	109877	56603
462	110076	56345
463	110226	56063
464	110367	55777
465	110538	55506
466	110675	55219
467	110939	54995
468	111076	54709
469	111289	54460
470	111406	54165
471	111639	53927
472	111837	53672
473	112037	53418
474	112279	53185
475	112405	52896
476	112518	52602
477	112798	52387
478	112917	52097
479	113207	51886
480	113314	51592
481	113489	51329
482	113670	51069
483	113845	50807
484	113989	50531
485	114190	50281
486	114359	50017
487	114513	49747
488	114655	49473
489	114794	49197
490	114918	48916
491	115040	48634
492	115147	48347
493	115341	48098
494	115549	47853
495	115685	47580
496	115846	47317
497	115958	47035
498	116131	46778
499	116257	46503
500	116510	46278
501	116710	46033
502	116896	45782
503	117041	45516
504	117216	45261
505	117370	44999
506	117480	44721
507	117662	44470
508	117804	44205
509	117928	43934
510	118110	43684
511	118263	43424
512	118403	43160
513	118533	42893
514	118690	42636
515	118888	42394
516	118999	42121
517	119112	41850
518	119222	41578
519	119395	41329
520	119576	41082
521	119692	40814
522	119831	40554
523	120038	40318
524	120174	40058
525	120323	39802
526	120569	39579
527	120845	39366
528	120962	39101
529	121093	38841
530	121297	38604
531	121513	38372
532	121685	38126
533	121843	37876
534	121991	37623
535	122232	37399
536	122390	37150
537	122555	36903
538	122858	36698
539	123013	36448
540	123178	36202
541	123308	35946
542	123621	35743
543	123767	35492
544	124017	35271
545	124210	35033
546	124379	34789
547	124593	34558
548	124708	34300
549	124918	34068
550	125098	33828
551	125320	33600
552	125508	33362
553	125741	33137
554	125922	32898
555	126089	32656
556	126199	32399
557	126341	32151
558	126512	31911
559	126730	31682
560	126842	31427
561	126979	31180
562	127238	30962
563	127439	30730
564	127631	30496
565	127853	30269
566	127963	30016
567	128133	29777
568	128294	29537
569	128429	29290
570	128614	29056
571	128722	28804
572	128933	28576
573	129050	28328
574	129210	28089
575	129412	27859
576	129671	27642
577	129820	27401
578	130000	27167
579	130133	26924
580	130240	26675
581	130376	26433
582	130500	26189
583	130704	25961
584	130899	25732
585	131077	25499
586	131298	25275
587	131484	25044
588	131663	24812
589	131815	24575
590	132029	24350
591	132257	24128
592	132489	23906
593	132695	23679
594	132928	23457
595	133238	23249
596	133380	23012
597	133506	22771
598	133695	22542
599	133866	22311
600	134088	22087
601	134312	21864
602	134475	21632
603	134767	21419
604	134894	21181
605	135076	20952
606	135235	20719
607	135482	20500
608	135659	20270
609	135857	20044
610	135999	19810
611	136150	19577
612	136350	19351
613	136472	19115
614	136664	18888
615	136803	18654
616	136965	18424
617	137114	18193
618	137236	17958
619	137398	17728
620	137526	17495
621	137715	17269
622	137917	17046
623	138165	16827
624	138289	16594
625	138404	16360
626	138585	16135
627	138751	15907
628	138866	15674
629	138976	15441
630	139101	15210
631	139220	14979
632	139335	14747
633	139459	14517
634	139642	14294
635	139834	14071
636	139966	13842
637	140146	13619
638	140292	13392
639	140418	13164
640	140598	12941
641	140740	12714
642	140856	12486
643	140980	12259
644	141121	12033
645	141270	11808
646	141425	11585
647	141664	11368
648	141836	11145
649	142011	10923
650	142268	10708
651	142427	10485
652	142704	10271
653	142825	10045
654	142970	9822
655	143159	9602
656	143409	9385
657	143569	9163
658	143736	8942
659	143880	8720
660	144041	8498
661	144242	8279
662	144506	8064
663	144666	7843
664	144807	7621
665	144980	7401
666	145200	7183
667	145335	6962
668	145501	6742
669	145737	6525
670	145914	6306
671	146181	6090
672	146450	5875
673	146668	5657
674	146790	5436
675	146910	5215
676	147104	4997
677	147400	4782
678	147522	4562
679	147680	4343
680	147865	4125
681	147986	3905
682	148145	3687
683	148338	3469
684	148481	3251
685	148629	3033
686	148796	2815
687	148959	2598
688	149095	2380
689	149270	2163
690	149500	1947
691	149715	1730
692	149985	1515
693	150124	1297
694	150285	1081
695	150455	864
696	150628	648
697	150777	432
698	150928	215
699	151147	0
