iter	Logloss
0	0.1284908985
1	0.02290905275
2	0.005500248338
3	0.00181214372
4	0.0007818363688
5	0.0003700137315
6	0.0001902378922
7	0.0001138904843
8	8.592374114e-05
9	8.592374114e-05
10	6.056104603e-05
11	6.055813145e-05
12	3.899429432e-05
13	3.899429432e-05
14	3.8729968e-05
15	3.872786017e-05
16	3.872757822e-05
17	3.872757822e-05
18	3.872724983e-05
19	3.87266664e-05
20	3.87266664e-05
21	3.87266664e-05
22	3.87266664e-05
23	3.87266664e-05
24	3.853212351e-05
25	3.853212351e-05
26	3.853212351e-05
27	2.842407447e-05
28	2.842396476e-05
29	2.842396476e-05
30	2.842383299e-05
31	2.842373598e-05
32	2.842373598e-05
33	2.84236157e-05
34	2.842339537e-05
35	2.842327182e-05
36	2.842317309e-05
37	2.842281121e-05
38	2.842242857e-05
39	2.84222513e-05
40	2.842194121e-05
41	2.842194121e-05
42	2.842154587e-05
43	2.842106382e-05
44	2.842054223e-05
45	2.842043283e-05
46	2.842043283e-05
47	2.842043283e-05
48	2.842020653e-05
49	2.842007975e-05
50	2.841996089e-05
51	2.841986384e-05
52	2.841963802e-05
53	2.841936462e-05
54	2.841912092e-05
55	2.841912092e-05
56	2.841893917e-05
57	2.841893917e-05
58	2.841893917e-05
59	2.841852101e-05
60	2.841852101e-05
61	2.841852101e-05
62	2.841838755e-05
63	2.841759168e-05
64	2.841730463e-05
65	2.841694238e-05
66	2.841682109e-05
67	2.841682109e-05
68	2.841643486e-05
69	2.841611218e-05
70	2.841611218e-05
71	2.841599121e-05
72	2.841573279e-05
73	2.841562204e-05
74	2.841543415e-05
75	2.841532701e-05
76	2.841509195e-05
77	2.841497177e-05
78	2.841485125e-05
79	2.841463723e-05
80	2.84142762e-05
81	2.841410311e-05
82	2.841374244e-05
83	2.841341299e-05
84	2.841302479e-05
85	2.841282163e-05
86	2.84126299e-05
87	2.841221139e-05
88	2.841186735e-05
89	2.841186735e-05
90	2.841186735e-05
91	2.841164656e-05
92	2.841088145e-05
93	2.841066094e-05
94	2.841066094e-05
95	2.841066094e-05
96	2.841046996e-05
97	2.841027905e-05
98	2.841003982e-05
99	2.840980296e-05
100	2.840963976e-05
101	2.840963976e-05
102	2.840963976e-05
103	2.840945546e-05
104	2.840928472e-05
105	2.840912177e-05
106	2.840912177e-05
107	2.840874091e-05
108	2.840836032e-05
109	2.840798e-05
110	2.840759995e-05
111	2.840748195e-05
112	2.840736394e-05
113	2.840724603e-05
114	2.84068665e-05
115	2.840648723e-05
116	2.840610823e-05
117	2.840610823e-05
118	2.840572951e-05
119	2.840572951e-05
120	2.840535106e-05
121	2.840535106e-05
122	2.840488217e-05
123	2.840479766e-05
124	2.840456231e-05
125	2.840447792e-05
126	2.84043935e-05
127	2.84043935e-05
128	2.84043935e-05
129	2.84043935e-05
130	2.840422503e-05
131	2.840405648e-05
132	2.840397224e-05
133	2.840378359e-05
134	2.840361531e-05
135	2.840361531e-05
136	2.840361531e-05
137	2.840338204e-05
138	2.8403214e-05
139	2.8403214e-05
140	2.840313015e-05
141	2.840289723e-05
142	2.840266451e-05
143	2.840243198e-05
144	2.840219965e-05
145	2.840219965e-05
146	2.840211605e-05
147	2.840211605e-05
148	2.840178188e-05
149	2.840155001e-05
150	2.840146663e-05
151	2.840146663e-05
152	2.840135081e-05
153	2.84012675e-05
154	2.84012675e-05
155	2.84012675e-05
156	2.84012675e-05
157	2.84012675e-05
158	2.84012675e-05
159	2.84012675e-05
160	2.84012675e-05
161	2.84012675e-05
162	2.84012675e-05
163	2.84012675e-05
164	2.84012675e-05
165	2.84012675e-05
166	2.84012675e-05
167	2.84012675e-05
168	2.84012675e-05
169	2.84012675e-05
170	2.84012675e-05
171	2.84012675e-05
172	2.84012675e-05
173	2.84012675e-05
174	2.84012675e-05
175	2.84012675e-05
176	2.84012675e-05
177	2.84012675e-05
178	2.84012675e-05
179	2.84012675e-05
180	2.84012675e-05
181	2.84012675e-05
182	2.84012675e-05
183	2.84012675e-05
184	2.84012675e-05
